id,email,name,lastname,user,password,edad
1,danielnovoa@icloud.com,Daniel,Novoa,Dnovoa,$Dan123,22
2,almaz@live.mx,Alma,Alvarado,Almaa,$Alma123,45
3,lalo@gmail.com,Lalo,Cruz,lalogr,$Lalo123,34
4,mafer3467@hotmail.com,Mafer,Alvarado,Mafera,$Mafer123,22
5,danijr@gmail.com,Daniel,Alvarado,Danieljr,$Danieljr123,23
6,pepepecas@icloud.com,pepe,pecas,pepepecas,$Pepe123,34
7,mgoku@gmail.com,Michael,Goku,mgoku,$Michael123,45
8,homerjsimpsom@yahoo.com,Homer,Simpson,homerjs,$Homer123,56
9,josejose@gmail.com,José,José,josejose,$Jose123,67
10,ramonlee@hotmail.com,Ramon,Lee,ramonlee,$Ramon123,78
11,mariamoñtos@gmail.com,Maria,Montos,mariamoñtos,$Maria123,25
12,marijein@gmail.com,Marijein,Alvarado,marijein,$Marijein123,36
13,lucas@gmail.com,Lucas,Alvarado,lucas,18
